id,last_sale,decimals,payment_token,date
5844,98,0,ETH,02/28/2022
1515,90,0,ETH,03/13/2022
3330,120,0,ETH,03/17/2022
2622,49,1,ETH,06/20/2021
4227,6,0,ETH,06/20/2021
3397,42069,4,ETH,06/20/2021
9388,6,0,ETH,06/21/2021
4227,635,2,ETH,06/21/2021
9388,59,1,ETH,06/21/2021
9388,4,0,ETH,06/22/2021
9388,492,2,ETH,06/23/2021
2668,355,2,ETH,06/23/2021
2725,385,2,ETH,07/04/2021
2622,447,2,ETH,07/13/2021
7412,487,2,ETH,07/14/2021
8498,745,2,ETH,08/01/2021
3683,999,2,ETH,08/03/2021
7015,117,1,ETH,08/04/2021
2458,17,0,ETH,08/04/2021
9703,115,1,ETH,08/12/2021
9703,88,1,WETH,08/13/2021
9460,15,0,ETH,08/18/2021
2313,24,0,ETH,08/21/2021
6271,30,0,ETH,08/21/2021
4627,227,1,ETH,08/22/2021
5957,49,0,WETH,12/01/2021
5816,499,1,ETH,12/26/2021
6416,54,0,ETH,12/31/2021
9786,65,0,ETH,01/01/2022
8978,100,0,ETH,01/29/2022
5538,89,0,ETH,03/16/2022
39,735,1,WETH,01/11/2022
999,77,0,WETH,01/11/2022
9669,80,0,WETH,01/11/2022
8831,75,0,WETH,01/12/2022
139,80,0,WETH,01/12/2022
5816,82,0,WETH,01/12/2022
1118,74,0,WETH,01/12/2022
7797,73,0,WETH,01/12/2022
4455,8499,2,WETH,01/12/2022
6663,85,0,WETH,01/12/2022
1361,97,0,WETH,01/13/2022
8829,65,0,WETH,01/13/2022
8829,74,0,WETH,01/13/2022
7302,75,0,WETH,01/14/2022
585,80,0,WETH,01/14/2022
9749,82,0,WETH,01/15/2022
4937,91,0,WETH,01/15/2022
9266,67,0,WETH,01/15/2022
9266,77,0,WETH,01/15/2022
7113,140,0,WETH,01/16/2022
1527,111,0,WETH,01/16/2022
8353,108,0,WETH,01/16/2022
3516,8269,2,WETH,01/17/2022
7725,915,1,WETH,01/17/2022
5740,79,0,WETH,01/17/2022
4755,681,1,WETH,01/17/2022
4755,68,0,WETH,01/17/2022
5779,78,0,WETH,01/18/2022
4755,80,0,WETH,01/18/2022
6420,88,0,WETH,01/18/2022
725,88,0,WETH,01/18/2022
483,75,0,WETH,01/18/2022
6136,99,0,WETH,01/19/2022
1623,68,0,WETH,01/19/2022
7725,1015,1,WETH,01/19/2022
8794,84,0,WETH,01/19/2022
5205,120,0,WETH,01/19/2022
8829,75,0,WETH,01/20/2022
585,825,1,WETH,01/20/2022
1360,89,0,WETH,01/20/2022
9136,93,0,WETH,01/20/2022
8364,80,0,WETH,01/21/2022
9780,85,0,WETH,01/21/2022
4250,100,0,WETH,01/21/2022
1275,90,0,WETH,01/21/2022
1937,82,0,WETH,01/21/2022
8305,85,0,WETH,01/22/2022
8143,85,0,WETH,01/23/2022
3360,805,1,WETH,01/23/2022
3176,8499,2,WETH,01/23/2022
3360,90,0,WETH,01/24/2022
8640,93,0,WETH,01/24/2022
105,8688,2,WETH,01/25/2022
3025,90,0,WETH,01/25/2022
190,88,0,WETH,01/25/2022
6112,90,0,WETH,01/25/2022
1623,9499,2,WETH,01/25/2022
1350,100,0,WETH,01/25/2022
6008,95,0,WETH,01/25/2022
9815,100,0,WETH,01/25/2022
7586,103,0,WETH,01/25/2022
9749,942069,4,WETH,01/25/2022
4533,100,0,WETH,01/25/2022
3748,124,0,WETH,01/26/2022
7739,109,0,WETH,01/26/2022
3718,1201,1,WETH,01/26/2022
8829,9475,2,WETH,01/26/2022
7944,115,0,WETH,01/27/2022
5061,905,1,WETH,01/27/2022
2251,999,1,WETH,01/27/2022
7976,1077,1,WETH,01/27/2022
9214,70,0,WETH,01/27/2022
5046,108,0,WETH,01/27/2022
9214,94,0,WETH,01/27/2022
6886,100,0,WETH,01/28/2022
8710,99999,3,WETH,01/28/2022
7496,975,1,WETH,01/28/2022
9214,988,1,WETH,01/28/2022
2068,91,0,WETH,01/28/2022
5816,104,0,WETH,01/28/2022
8620,975,1,WETH,01/28/2022
5816,9669,2,WETH,01/28/2022
4802,117,0,WETH,01/28/2022
268,9889,2,WETH,01/28/2022
6169,97,0,WETH,01/28/2022
3395,975,1,WETH,01/28/2022
4586,90,0,WETH,01/29/2022
3736,106,0,WETH,01/29/2022
7206,999,1,WETH,01/29/2022
2477,120,0,WETH,01/29/2022
1623,1079,1,WETH,01/29/2022
1397,99,0,WETH,01/29/2022
1623,63,2,WETH,01/29/2022
1922,100,0,WETH,01/29/2022
6248,9969,2,WETH,01/29/2022
7568,915,2,WETH,01/29/2022
2560,100,0,WETH,01/29/2022
190,993,1,WETH,01/29/2022
8843,105,0,WETH,01/29/2022
5460,11379,2,WETH,01/29/2022
5730,1085,1,WETH,01/30/2022
8424,109,0,WETH,01/30/2022
1804,105,0,WETH,01/30/2022
3489,108,0,WETH,01/30/2022
3531,111,0,WETH,01/30/2022
4590,110,0,WETH,01/30/2022
203,111,0,WETH,01/30/2022
9375,153,0,WETH,01/30/2022
5704,130,0,WETH,01/30/2022
7448,100,0,WETH,01/30/2022
6019,1169,1,WETH,01/30/2022
232,108069,2,WETH,01/30/2022
8776,11945,2,WETH,01/30/2022
