date,price
05/12/2022,1952.45
05/11/2022,2224.32
05/10/2022,2329.69
05/09/2022,2377.65
05/08/2022,2565.95
05/07/2022,2647.62
05/06/2022,2695.69
05/05/2022,2826.39
05/04/2022,2867.39
05/03/2022,2809.79
05/02/2022,2831.76
05/01/2022,2786.45
04/30/2022,2781.66
04/29/2022,2861.58
04/28/2022,2917.02
04/27/2022,2857.18
04/26/2022,2905.59
04/25/2022,2911.69
04/24/2022,2940.25
04/23/2022,2949.77
04/22/2022,2983.36
04/21/2022,3066.07
04/20/2022,3101.24
04/19/2022,3080.53
04/18/2022,2980.35
04/17/2022,3032.67
04/16/2022,3046.62
04/15/2022,3023.89
04/14/2022,3063.85
04/13/2022,3065.34
04/12/2022,3018.58
04/11/2022,3085.83
04/10/2022,3258.72
04/09/2022,3225.45
04/08/2022,3243.1
04/07/2022,3207.73
04/06/2022,3284.86
04/05/2022,3475.79
04/04/2022,3482.16
04/03/2022,3497.43
04/02/2022,3484.02
04/01/2022,3346.91
03/31/2022,3354.25
03/30/2022,3392.26
03/29/2022,3408.37
03/28/2022,3354.1
03/27/2022,3212.06
03/26/2022,3119.39
03/25/2022,3137.09
03/24/2022,3067.97
03/23/2022,2984.08
03/22/2022,2968.22
03/21/2022,2897.0
03/20/2022,2891.9
03/19/2022,2940.53
03/18/2022,2877.04
03/17/2022,2792.44
03/16/2022,2697.47
03/15/2022,2590.02
03/14/2022,2554.82
03/13/2022,2547.62
03/12/2022,2582.51
03/11/2022,2598.38
03/10/2022,2643.06
03/09/2022,2671.24
03/08/2022,2554.43
03/07/2022,2545.57
03/06/2022,2610.75
03/05/2022,2637.87
03/04/2022,2704.89
03/03/2022,2881.95
03/02/2022,2974.99
03/01/2022,2949.98
02/28/2022,2760.25
02/27/2022,2699.47
02/26/2022,2797.42
02/25/2022,2703.83
02/24/2022,2506.23
02/23/2022,2666.84
02/22/2022,2580.95
02/21/2022,2660.54
02/20/2022,2671.08
02/19/2022,2767.01
02/18/2022,2850.07
02/17/2022,3007.04
02/16/2022,3116.22
02/15/2022,3053.53
02/14/2022,2900.39
02/13/2022,2897.36
02/12/2022,2923.48
02/11/2022,3008.98
02/10/2022,3172.02
02/09/2022,3164.85
02/08/2022,3129.55
02/07/2022,3093.12
02/06/2022,3016.83
02/05/2022,3013.27
02/04/2022,2833.46
02/03/2022,2652.78
02/02/2022,2714.39
02/01/2022,2745.63
01/31/2022,2594.91
01/30/2022,2591.19
01/29/2022,2579.8
01/28/2022,2459.18
01/27/2022,2419.47
01/26/2022,2560.79
01/25/2022,2430.11
01/24/2022,2351.24
01/23/2022,2460.27
01/22/2022,2468.23
01/21/2022,2755.3
01/20/2022,3135.07
01/19/2022,3113.64
01/18/2022,3167.1
01/17/2022,3250.3
01/16/2022,3335.91
01/15/2022,3322.26
01/14/2022,3267.86
01/13/2022,3322.19
01/12/2022,3308.98
01/11/2022,3158.29
01/10/2022,3056.17
01/09/2022,3135.97
01/08/2022,3123.66
01/07/2022,3241.96
01/06/2022,3427.49
01/05/2022,3631.53
01/04/2022,3803.18
01/03/2022,3765.79
01/02/2022,3783.95
01/01/2022,3728.32
12/31/2021,3717.47
12/30/2021,3681.72
12/29/2021,3720.77
12/28/2021,3900.64
12/27/2021,4082.22
12/26/2021,4059.84
12/25/2021,4080.77
12/24/2021,4081.54
12/23/2021,4023.02
12/22/2021,4010.7
12/21/2021,3989.66
12/20/2021,3868.2
12/19/2021,3958.97
12/18/2021,3883.66
12/17/2021,3851.34
12/16/2021,4032.96
12/15/2021,3873.82
12/14/2021,3783.84
12/13/2021,3908.38
12/12/2021,4082.69
12/11/2021,3965.56
12/10/2021,4054.32
12/09/2021,4279.93
12/08/2021,4344.05
12/07/2021,4345.4
