id,last_sale,decimals,payment_token,date
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,63000000000000000000,18,ETH,12/22/2021
7,,,,
8,,,,
9,135000000000000000000,18,ETH,04/02/2022
10,80000000000000000000,18,ETH,11/15/2021
11,20000000000000000000,18,ETH,08/04/2021
12,,,,
13,99000000000000000000,18,ETH,03/16/2022
14,,,,
15,38770000000000000000,18,ETH,09/14/2021
16,54000000000000000000,18,ETH,12/22/2021
17,,,,
18,18000000000000000000,18,ETH,06/26/2021
19,1500000000000000000,18,ETH,05/28/2021
20,36400000000000000000,18,ETH,11/10/2021
21,,,,
22,7990000000000000000,18,ETH,07/26/2021
23,289000000000000000000,18,ETH,01/09/2022
24,,,,
25,630000000000000000,18,ETH,05/24/2021
26,,,,
27,,,,
28,69690000000000000000,18,ETH,12/10/2021
29,135,0,WETH,03/28/2022
30,,,,
31,39690000000000000000,18,ETH,08/11/2021
32,2500000000000000000,18,ETH,05/02/2021
33,3330000000000000000,18,ETH,06/07/2021
34,450000000000000000,18,ETH,05/01/2021
35,40000000000000000000,18,ETH,08/21/2021
36,59110000000000000000,18,WETH,12/30/2021
37,55000000000000000000,18,ETH,08/30/2021
38,1800000000000000000,18,ETH,06/05/2021
39,80000000000000000000,18,ETH,01/14/2022
40,16100000000000000000,18,ETH,08/11/2021
41,44500000000000000000,18,ETH,09/09/2021
42,7000000000000000000,18,ETH,06/15/2021
43,65000000000000000000,18,ETH,12/29/2021
44,7000000000000000000,18,ETH,07/15/2021
45,34690000000000000000,18,ETH,11/12/2021
46,,,,
47,,,,
48,200000000000000000,18,ETH,05/01/2021
49,800000000000000000,18,ETH,05/01/2021
50,130,0,WETH,01/31/2022
51,12999,2,WETH,01/31/2022
52,3000000000000000000,18,ETH,05/05/2021
53,1000000000000000000,18,ETH,06/01/2021
54,8870000000000000000,18,ETH,08/01/2021
55,220,0,WETH,02/17/2022
56,50000000000000000000,18,ETH,11/17/2021
57,,,,
58,88000000000000000000,18,ETH,01/18/2022
59,5888000000000000000,18,ETH,07/15/2021
60,,,,
61,35000000000000000000,18,ETH,08/24/2021
62,44000000000000000000,18,ETH,11/26/2021
63,,,,
64,47000000000000000000,18,ETH,09/15/2021
65,300000000000000000,18,WETH,05/04/2021
66,1020000000000000000,18,WETH,05/02/2021
67,130000000000000000000,18,ETH,01/31/2022
68,500000000000000000,18,WETH,05/02/2021
69,1950000000000000000,18,ETH,06/06/2021
70,115000000000000000000,18,ETH,03/23/2022
71,10199,2,WETH,03/25/2022
72,1299900000000000000,18,ETH,06/02/2021
73,30000000000000000000,18,WETH,06/09/2021
74,29500000000000000000,18,WETH,08/21/2021
75,98000000000000000000,18,ETH,03/16/2022
76,50690000000000000000,18,ETH,12/03/2021
77,250000000000000000,18,ETH,05/02/2021
