id,last_sale,decimals,payment_token,date
0,25000000000000000000,18.0,ETH,11/30/2018
1,60000000000000000000,18.0,ETH,11/30/2020
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,2500000000000000000,18.0,ETH,12/07/2018
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,510000000000000000,18.0,ETH,07/10/2017
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,129990000000000000000,18.0,ETH,08/23/2021
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,19990000000000000000,18.0,ETH,09/06/2020
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
101,,,,
102,,,,
103,,,,
104,,,,
105,,,,
106,,,,
107,,,,
108,,,,
109,,,,
110,,,,
111,,,,
112,,,,
113,,,,
114,,,,
115,,,,
116,2400000000000000000,18.0,ETH,07/17/2017
117,,,,
118,20450000000000000000,18.0,ETH,05/04/2021
119,,,,
120,,,,
121,,,,
122,,,,
123,,,,
124,17000000000000000000,18.0,ETH,06/10/2021
125,,,,
126,,,,
127,,,,
128,,,,
129,,,,
130,,,,
131,,,,
132,,,,
133,,,,
134,,,,
135,,,,
136,,,,
137,,,,
138,57990000000000000000,18.0,ETH,08/23/2021
139,87900000000000000000,18.0,ETH,08/27/2021
140,,,,
141,39500000000000000000,18.0,ETH,07/27/2021
142,,,,
143,180000000000000000000,18.0,ETH,07/04/2021
144,,,,
145,,,,
146,,,,
147,,,,
148,,,,
