id,Background,Earring,Fur,Eyes,Mouth,Clothes,Hat
0,Orange,Silver Hoop,Robot,X Eyes,Discomfort,Striped Tee,
1,Orange,,Robot,Blue Beams,Grin,Vietnam Jacket,
2,Aquamarine,,Robot,3d,Bored Cigarette,,Sea Captain's Hat
3,Purple,,Cheetah,Bored,Tongue Out,Bone Necklace,
4,Blue,,Golden Brown,Closed,Phoneme L,Navy Striped Tee,Party Hat 2
5,Army Green,,Brown,X Eyes,Dumbfounded,Bayc T Red,Bayc Flipped Brim
6,Yellow,,Cream,Crazy,Bored,Tweed Suit,S&m Hat
7,Gray,,Golden Brown,Angry,Bored,Wool Turtleneck,Stuntman Helmet
8,Aquamarine,Gold Stud,Zombie,Robot,Bored,,Beanie
9,Purple,Silver Stud,Brown,Sleepy,Small Grin,Stunt Jacket,Seaman's Hat
10,Aquamarine,,Dmt,Eyepatch,Bored,Navy Striped Tee,Bayc Hat Red
11,Gray,,Dark Brown,Bloodshot,Bored Unshaven Cigarette,Smoking Jacket,Laurel Wreath
12,Army Green,,Brown,Wide Eyed,Discomfort,Black Holes T,Seaman's Hat
13,Yellow,,Black,Coins,Bored,Bone Tee,Police Motorcycle Helmet
14,Orange,Diamond Stud,Cheetah,3d,Small Grin,Tanktop,
15,Gray,,Gray,Zombie,Phoneme L,Black T,Girl's Hair Pink
16,Purple,Silver Hoop,Dark Brown,Bored,Dumbfounded,Bone Necklace,Horns
17,New Punk Blue,Gold Stud,Tan,Closed,Bored Unshaven,Bayc T Black,Commie Hat
18,Purple,,Robot,Cyborg,Bored Cigarette,Vietnam Jacket,
19,Army Green,,Tan,Eyepatch,Rage,,Bayc Hat Black
20,Blue,,Gray,3d,Phoneme Vuh,Bandolier,Beanie
21,Orange,,Black,Bored,Phoneme  ooo,Black Holes T,
22,New Punk Blue,Gold Stud,Zombie,Sleepy,Bored Unshaven,Tuxedo Tee,S&m Hat
23,Aquamarine,,Trippy,Bored,Bored Pipe,,Beanie
24,Aquamarine,,Black,Hypnotized,Dumbfounded,Bayc T Black,Fez
25,Blue,,Brown,Closed,Bored Cigarette,Guayabera,
26,Aquamarine,,Dark Brown,3d,Bored Cigarette,Stunt Jacket,Stuntman Helmet
27,Orange,,Gray,Bored,Bored,Sleeveless T,Army Hat
28,Purple,Silver Stud,Tan,X Eyes,Bored Cigarette,,Bayc Flipped Brim
29,Blue,,Tan,Robot,Bored Unshaven,,
30,Aquamarine,,Gray,Holographic,Bored Unshaven Cigarette,Tuxedo Tee,
31,Yellow,Silver Hoop,Dmt,Eyepatch,Bored Unshaven,Black Holes T,Party Hat 2
32,Purple,,Dark Brown,Sunglasses,Bored,Hip Hop,Halo
33,Purple,,Red,Closed,Small Grin,Vietnam Jacket,Girl's Hair Pink
34,Orange,,Black,Sleepy,Bored,Sleeveless T,Bayc Hat Red
