id,type,accessory1,accessory2,accessory3,accessory4,accessory5,accessory6,accessory7
0,Female,Green Eye Shadow,Earring,Blonde Bob,,,,
1,Male,Mohawk,Smile,,,,,
2,Female,Wild Hair,,,,,,
3,Male,Nerd Glasses,Wild Hair,Pipe,,,,
4,Male,Earring,Big Shades,Wild Hair,Goat,,,
5,Female,Earring,Half Shaved,Purple Eye Shadow,,,,
6,Male,Do-rag,,,,,,
7,Female,Clown Eyes Blue,Wild White Hair,Spots,,,,
8,Male,Messy Hair,Luxurious Beard,,,,,
9,Male,Big Beard,Clown Nose,Police Cap,,,,
10,Female,Mohawk,Blue Eye Shadow,,,,,
11,Female,Clown Eyes Green,Black Lipstick,Straight Hair Dark,,,,
12,Female,Blonde Short,Purple Lipstick,,,,,
13,Female,Black Lipstick,Big Shades,Straight Hair Blonde,,,,
14,Female,Hot Lipstick,Pipe,Pilot Helmet,,,,
15,Male,Regular Shades,Wild Hair,Luxurious Beard,,,,
16,Male,Stringy Hair,Earring,Small Shades,,,,
17,Male,Mohawk,Frown,,,,,
18,Male,Muttonchops,Eye Mask,,,,,
19,Female,Horned Rim Glasses,Hot Lipstick,Bandana,,,,
20,Male,Crazy Hair,,,,,,
21,Male,Messy Hair,Classic Shades,Earring,,,,
22,Female,Purple Lipstick,Pilot Helmet,,,,,
23,Male,Earring,Do-rag,Handlebars,,,,
24,Male,Mohawk Dark,Smile,,,,,
25,Female,Wild White Hair,,,,,,
26,Female,Dark Hair,,,,,,
27,Male,Peak Spike,Earring,,,,,
28,Male,Big Shades,Crazy Hair,,,,,
29,Female,Horned Rim Glasses,Earring,Half Shaved,,,,
30,Male,Cap,Normal Beard Black,,,,,
31,Female,Stringy Hair,,,,,,
32,Male,VR,Frown,,,,,
33,Male,Peak Spike,,,,,,
34,Female,Purple Lipstick,Frumpy Hair,,,,,
35,Male,Peak Spike,Horned Rim Glasses,Cigarette,Earring,Normal Beard,,
36,Female,Red Mohawk,,,,,,
37,Female,Cap,Clown Eyes Blue,,,,,
38,Female,Classic Shades,Purple Lipstick,Frumpy Hair,,,,
39,Male,Shaved Head,Regular Shades,Frown,,,,
40,Male,Chinstrap,Bandana,Smile,,,,
41,Male,Clown Eyes Green,Muttonchops,Wild Hair,,,,
42,Female,Cigarette,Wild Hair,,,,,
43,Female,Half Shaved,,,,,,
44,Male,Messy Hair,,,,,,
45,Male,Mole,Earring,,,,,
46,Female,Purple Lipstick,Straight Hair Dark,,,,,
47,Male,Knitted Cap,,,,,,
48,Male,Mohawk,Big Shades,,,,,
49,Female,Bandana,Purple Eye Shadow,,,,,
50,Male,Fedora,Spots,,,,,
51,Male,Muttonchops,Earring,Wild Hair,,,,
52,Male,Shadow Beard,Nerd Glasses,Earring,Knitted Cap,,,
53,Female,Big Shades,Straight Hair,,,,,
54,Male,Hoodie,,,,,,
55,Male,Eye Patch,,,,,,
56,Male,Shaved Head,,,,,,
57,Male,Headband,,,,,,
58,Male,Hoodie,Normal Beard Black,,,,,
59,Male,Muttonchops,Cowboy Hat,,,,,
60,Female,Purple Lipstick,Stringy Hair,,,,,
61,Female,Dark Hair,,,,,,
