Index,Value,Type,Count
0,Female,type,3840
1,Male,type,6039
2,Zombie,type,88
3,Ape,type,24
4,Alien,type,9
5,Green Eye Shadow,accessory,271
6,Earring,accessory,2459
7,Blonde Bob,accessory,147
8,Mohawk,accessory,441
9,Smile,accessory,238
10,Wild Hair,accessory,447
11,Nerd Glasses,accessory,572
12,Pipe,accessory,317
13,Big Shades,accessory,535
14,Goat,accessory,295
15,Half Shaved,accessory,147
16,Purple Eye Shadow,accessory,262
17,Do-rag,accessory,300
18,Clown Eyes Blue,accessory,384
19,Wild White Hair,accessory,136
20,Spots,accessory,124
21,Messy Hair,accessory,460
22,Luxurious Beard,accessory,286
23,Big Beard,accessory,146
24,Clown Nose,accessory,212
25,Police Cap,accessory,203
26,Blue Eye Shadow,accessory,266
27,Clown Eyes Green,accessory,382
28,Black Lipstick,accessory,617
29,Straight Hair Dark,accessory,148
30,Blonde Short,accessory,129
31,Purple Lipstick,accessory,655
32,Straight Hair Blonde,accessory,144
33,Hot Lipstick,accessory,696
34,Pilot Helmet,accessory,54
35,Regular Shades,accessory,527
36,Stringy Hair,accessory,463
37,Small Shades,accessory,378
38,Frown,accessory,261
39,Muttonchops,accessory,303
40,Eye Mask,accessory,293
41,Horned Rim Glasses,accessory,535
42,Bandana,accessory,481
43,Crazy Hair,accessory,414
44,Classic Shades,accessory,502
45,Handlebars,accessory,263
46,Mohawk Dark,accessory,429
47,Dark Hair,accessory,157
48,Peak Spike,accessory,303
49,Cap,accessory,351
50,Normal Beard Black,accessory,289
51,VR,accessory,332
52,Frumpy Hair,accessory,442
53,Cigarette,accessory,961
54,Normal Beard,accessory,292
55,Red Mohawk,accessory,147
56,Shaved Head,accessory,300
57,Chinstrap,accessory,282
58,Mole,accessory,644
59,Knitted Cap,accessory,419
60,Fedora,accessory,186
61,Shadow Beard,accessory,526
62,Straight Hair,accessory,151
63,Hoodie,accessory,259
64,Eye Patch,accessory,461
65,Headband,accessory,406
66,Cowboy Hat,accessory,142
67,Tassle Hat,accessory,178
68,3D Glasses,accessory,286
69,Mustache,accessory,288
70,Vape,accessory,272
71,Choker,accessory,48
72,Pink With Hat,accessory,95
73,Welding Goggles,accessory,86
74,Vampire Hair,accessory,147
75,Mohawk Thin,accessory,441
76,Tiara,accessory,55
77,Front Beard Dark,accessory,260
78,Gold Chain,accessory,169
79,Cap Forward,accessory,254
80,Purple Hair,accessory,165
81,Beanie,accessory,44
82,Clown Hair Green,accessory,148
83,Pigtails,accessory,94
84,Silver Chain,accessory,156
85,Front Beard,accessory,273
86,Rosy Cheeks,accessory,128
87,Orange Side,accessory,68
88,Wild Blonde,accessory,144
89,Buck Teeth,accessory,78
90,Top Hat,accessory,115
91,Medical Mask,accessory,175
